Test Suite Name,Container Type,String Length,Container Size,Min Time,Avg Time,Max Time
Long List of Short Strings,Set,100,100000,0.073553,0.073723,0.073947
Long List of Short Strings,List,100,100000,0.018447,0.018741,0.019304
Long List of Short Strings,Dictionary,100,100000,0.021495,0.022215,0.023176
Medium List of Short Strings,Set,100,50000,0.015568,0.016286,0.017164
Medium List of Short Strings,List,100,50000,0.008816,0.009133,0.00939
Medium List of Short Strings,Dictionary,100,50000,0.010052,0.010084,0.010136
Short List of Short Strings,Set,100,25000,0.007795,0.009405,0.01184
Short List of Short Strings,List,100,25000,0.004432,0.004523,0.004619
Short List of Short Strings,Dictionary,100,25000,0.004996,0.005133,0.005233
Long List of Medium Strings,Set,200,100000,0.102771,0.105011,0.107937
Long List of Medium Strings,List,200,100000,0.027504,0.02865,0.029245
Long List of Medium Strings,Dictionary,200,100000,0.030532,0.032309,0.033476
Medium List of Medium Strings,Set,200,50000,0.042385,0.047238,0.051337
Medium List of Medium Strings,List,200,50000,0.010158,0.01057,0.011372
Medium List of Medium Strings,Dictionary,200,50000,0.014681,0.015522,0.016787
Short List of Medium Strings,Set,200,25000,0.008394,0.008806,0.009481
Short List of Medium Strings,List,200,25000,0.004929,0.006933,0.009785
Short List of Medium Strings,Dictionary,200,25000,0.00519,0.0054,0.005553
Long List of Long Strings,Set,400,100000,0.107843,0.109054,0.110224
Long List of Long Strings,List,400,100000,0.038784,0.039341,0.039654
Long List of Long Strings,Dictionary,400,100000,0.044132,0.045181,0.046891
Medium List of Long Strings,Set,400,50000,0.032686,0.034432,0.035384
Medium List of Long Strings,List,400,50000,0.012241,0.013212,0.014575
Medium List of Long Strings,Dictionary,400,50000,0.014732,0.017525,0.019509
Short List of Long Strings,Set,400,25000,0.008965,0.009877,0.011552
Short List of Long Strings,List,400,25000,0.005139,0.005639,0.00663
Short List of Long Strings,Dictionary,400,25000,0.005534,0.006304,0.007326
